"","x"
"1",87
"2",963
"3",1724
"4",2080
"5",2256
"6",2269
"7",2342
"8",3340
"9",3657
"10",3908
"11",4671
"12",4841
"13",5009
"14",5528
"15",5759
"16",6127
"17",7450
"18",7964
"19",8124
"20",8153
"21",8183
"22",8479
"23",8899
"24",8909
"25",9170
"26",9457
"27",10037
"28",10104
"29",10383
"30",11038
"31",11049
"32",11056
"33",11305
"34",11990
"35",12495
"36",12539
"37",12806
"38",12845
"39",12878
"40",13559
"41",13560
"42",13847
"43",14039
"44",14175
"45",14373
"46",14538
"47",14996
"48",15321
"49",15532
"50",15788
"51",16162
"52",16336
"53",16422
"54",16468
"55",16497
"56",17823
"57",19186
"58",19445
"59",19772
"60",20224
"61",20547
"62",21028
"63",21305
"64",22807
"65",22808
"66",22839
"67",23217
"68",23287
"69",23320
"70",23905
"71",23959
"72",24394
"73",24695
"74",25176
"75",25810
"76",26005
"77",26335
"78",26528
"79",27139
"80",27462
"81",27775
"82",28310
"83",28427
"84",28590
"85",28641
"86",28932
"87",28933
"88",29195
"89",29255
"90",29376
"91",29493
"92",29638
"93",29728
"94",29826
"95",30230
"96",30336
"97",30425
"98",30530
"99",30553
"100",30554
"101",30649
"102",31142
"103",31398
"104",31586
"105",31873
"106",31889
"107",32035
"108",32255
"109",32793
"110",32850
"111",33094
"112",33400
"113",33501
"114",33783
"115",34390
"116",34392
"117",34507
"118",34699
"119",34814
"120",34915
"121",34945
"122",35218
"123",35612
"124",35625
"125",35685
"126",36034
"127",36793
"128",37410
"129",37654
"130",37656
"131",37750
"132",37921
"133",38832
"134",38855
"135",39235
"136",39592
"137",39987
"138",40641
"139",41222
"140",41923
"141",41971
"142",42000
"143",42575
"144",42957
"145",43643
"146",43691
"147",43774
"148",43833
"149",43908
"150",43976
"151",44249
"152",44360
"153",44378
"154",44595
"155",45639
"156",45951
"157",46308
"158",46370
"159",47545
"160",47760
"161",48568
"162",48869
"163",48912
"164",48950
"165",49049
"166",49147
"167",49368
"168",50692
"169",50736
"170",50986
"171",51224
"172",51276
"173",51624
"174",51714
"175",51721
"176",53478
"177",53569
"178",53655
"179",54238
"180",54685
"181",55396
"182",55853
"183",55861
"184",56459
"185",56597
"186",57505
"187",57596
"188",57674
"189",57733
"190",57857
"191",58170
"192",58305
"193",58841
"194",58994
"195",59156
"196",59181
"197",59204
"198",59288
"199",59344
"200",59400
"201",59540
"202",59935
"203",60014
"204",60090
"205",60351
"206",60604
"207",60717
"208",60859
"209",60889
"210",61111
"211",61146
"212",62057
"213",62499
"214",63267
"215",63415
"216",63551
"217",63991
"218",64035
"219",64274
"220",64529
"221",64769
"222",65194
"223",65345
"224",65511
"225",65519
"226",66001
"227",66298
"228",66780
"229",67825
"230",67834
"231",68345
"232",68524
"233",69477
"234",69914
"235",70087
"236",70319
"237",71729
"238",71778
"239",72316
"240",73323
"241",73839
"242",74099
"243",74342
"244",74565
"245",74669
"246",75298
"247",75301
"248",75453
"249",76626
"250",77003
"251",77055
"252",77555
"253",78481
"254",78808
"255",78858
"256",78881
"257",78917
"258",79050
"259",80021
"260",80023
"261",80340
"262",80489
"263",80678
"264",80925
"265",81156
"266",81353
"267",81568
"268",82118
"269",82253
"270",82357
"271",82364
"272",82874
"273",82914
"274",82931
"275",82954
"276",83010
"277",83294
"278",84275
"279",84383
"280",84522
"281",84901
"282",84981
"283",85021
"284",85066
"285",85665
"286",85781
"287",86222
"288",86225
"289",86314
"290",86609
"291",86620
"292",86661
"293",87660
"294",87980
"295",88642
"296",88965
"297",89382
"298",89481
"299",89482
"300",89484
"301",89944
"302",90459
"303",90913
"304",90915
"305",91172
"306",91237
"307",91272
"308",91354
"309",91472
"310",91912
"311",92240
"312",92403
"313",92684
"314",92995
"315",93029
"316",93086
"317",93163
"318",93633
"319",93666
"320",93972
"321",94004
"322",94035
"323",94129
"324",94321
"325",94880
"326",95049
"327",95763
"328",96562
"329",97246
"330",97523
"331",98134
"332",98445
"333",98585
"334",99270
"335",99331
"336",99452
"337",99504
"338",99722
"339",99940
"340",100984
"341",101823
"342",101942
"343",102023
"344",103320
"345",103506
"346",103703
"347",103853
"348",103915
"349",104557
"350",104919
"351",105265
"352",105519
"353",105635
"354",105681
"355",105857
"356",107011
"357",107157
"358",107583
"359",107757
"360",107927
"361",108225
"362",108391
"363",108546
"364",108624
"365",109225
"366",109613
"367",109825
"368",109842
"369",109873
"370",109976
"371",110456
"372",110466
"373",110494
"374",111615
"375",111616
"376",112001
"377",112554
"378",112769
"379",112835
"380",112923
"381",113137
"382",113823
"383",113990
"384",114033
"385",114082
"386",114421
"387",115276
"388",115380
"389",115426
"390",115743
"391",115848
"392",116294
"393",116339
"394",116660
"395",117758
"396",118165
"397",118616
"398",118621
"399",118801
"400",118823
"401",118992
"402",119053
"403",119093
"404",119209
"405",119233
"406",119328
"407",119443
"408",119579
"409",119899
"410",119925
"411",120109
"412",120130
"413",120242
"414",120408
"415",121132
"416",121516
"417",121564
"418",121830
"419",121875
"420",122053
"421",122094
"422",122271
"423",122355
"424",122656
"425",122683
"426",122781
"427",122902
"428",123034
"429",123071
"430",123298
"431",123389
"432",123511
"433",123656
"434",123918
"435",124257
"436",124924
"437",125007
"438",125016
"439",125021
"440",125082
"441",125308
"442",126008
"443",126477
"444",127330
"445",127539
"446",127557
"447",127807
"448",128331
"449",128347
"450",128683
"451",128776
"452",128794
"453",128843
"454",129616
"455",129666
"456",129729
"457",129795
"458",130160
"459",130436
"460",130481
"461",131827
"462",133152
"463",134031
"464",134158
"465",134247
"466",135349
"467",135394
"468",135647
"469",135671
"470",135700
"471",136985
"472",137490
"473",137495
"474",137710
"475",138134
"476",138196
"477",138233
"478",139572
"479",140285
"480",140483
"481",140699
"482",141714
"483",142512
"484",142526
"485",142769
"486",143527
"487",144943
"488",145770
"489",145860
"490",145960
"491",146104
"492",146747
"493",146830
"494",147539
"495",147567
"496",147792
"497",148031
"498",148094
"499",148120
"500",148256
"501",149446
"502",149641
"503",149807
"504",149815
"505",151514
"506",151536
"507",151624
"508",151797
"509",151835
"510",151904
"511",152228
"512",152296
"513",152571
"514",153008
"515",153009
"516",153022
"517",153272
"518",153723
"519",153895
"520",153926
"521",154089
"522",154650
"523",154903
"524",154913
"525",155050
"526",155381
"527",155448
"528",155449
"529",155469
"530",155606
"531",155756
"532",155838
"533",155871
"534",155987
"535",155989
"536",156325
"537",157017
"538",157113
"539",157454
"540",158562
"541",158739
"542",159383
"543",159736
"544",159739
"545",159750
"546",160258
"547",160302
"548",161301
"549",161350
"550",161615
"551",162353
"552",162398
"553",162766
"554",163007
"555",163233
"556",163658
"557",163706
"558",164262
"559",164751
"560",165188
"561",165477
"562",165520
"563",165549
"564",165563
"565",165743
"566",166902
"567",167984
"568",168526
"569",168865
"570",169031
"571",169381
"572",169423
"573",169738
"574",170411
"575",171507
"576",171662
"577",171911
"578",172171
"579",172508
"580",172510
"581",172840
"582",173244
"583",173257
"584",173258
"585",173579
"586",173850
"587",174081
"588",174095
"589",174291
"590",174325
"591",174348
"592",174926
"593",175165
"594",175170
"595",175205
"596",175670
"597",175817
"598",176577
"599",176707
"600",176727
"601",177042
"602",177096
"603",177248
"604",177263
"605",180008
"606",180101
"607",180868
"608",180911
"609",180929
"610",181195
"611",181217
"612",181411
"613",181426
"614",181751
"615",182205
"616",182374
"617",182723
"618",183122
"619",183336
"620",183338
"621",183398
"622",183435
"623",183781
"624",184145
"625",184603
"626",185464
"627",186539
"628",186872
"629",187135
"630",187330
"631",187663
"632",187783
"633",187976
"634",188397
"635",188648
"636",188723
"637",189237
"638",189485
"639",189594
"640",190116
"641",190350
"642",190516
"643",190838
"644",191166
"645",191836
"646",191865
"647",192429
"648",192453
"649",192492
"650",192524
"651",192895
"652",192973
"653",193505
"654",193680
"655",194946
"656",194963
"657",195196
"658",195271
"659",196256
