Date,India - GUI
Jan-04,-5.63
Feb-04,-20.95
Mar-04,-16.13
Apr-04,-3.11
May-04,-1.11
Jun-04,6.50
Jul-04,48.47
Aug-04,16.29
Sep-04,23.46
Oct-04,15.30
Nov-04,5.63
Dec-04,2.69
Jan-05,7.24
Feb-05,7.48
Mar-05,3.57
Apr-05,-4.37
May-05,5.12
Jun-05,-11.89
Jul-05,-9.94
Aug-05,-6.18
Sep-05,-9.52
Oct-05,-3.94
Nov-05,9.14
Dec-05,7.50
Jan-06,-4.48
Feb-06,-6.22
Mar-06,-4.78
Apr-06,-13.23
May-06,-16.36
Jun-06,-8.78
Jul-06,-14.21
Aug-06,-17.91
Sep-06,-20.50
Oct-06,-20.91
Nov-06,-22.38
Dec-06,-20.51
Jan-07,-16.91
Feb-07,-5.54
Mar-07,-12.29
Apr-07,-6.49
May-07,-2.92
Jun-07,-14.42
Jul-07,-13.42
Aug-07,-8.83
Sep-07,-9.30
Oct-07,-10.14
Nov-07,-16.59
Dec-07,-8.86
Jan-08,-4.79
Feb-08,-5.19
Mar-08,1.93
Apr-08,13.27
May-08,5.89
Jun-08,29.71
Jul-08,16.74
Aug-08,10.29
Sep-08,18.09
Oct-08,40.04
Nov-08,19.22
Dec-08,8.57
Jan-09,7.35
Feb-09,-6.93
Mar-09,4.50
Apr-09,-5.95
May-09,-11.32
Jun-09,7.56
Jul-09,46.23
Aug-09,11.22
Sep-09,5.36
Oct-09,11.64
Nov-09,18.28
Dec-09,13.34
Jan-10,20.91
Feb-10,30.22
Mar-10,19.22
Apr-10,28.92
May-10,35.09
Jun-10,15.82
Jul-10,8.37
Aug-10,9.36
Sep-10,-0.43
Oct-10,10.15
Nov-10,8.99
Dec-10,14.69
Jan-11,0.93
Feb-11,-3.95
Mar-11,-7.67
Apr-11,-15.26
May-11,-12.07
Jun-11,-15.79
Jul-11,-11.95
Aug-11,-12.40
Sep-11,-6.32
Oct-11,-19.04
Nov-11,-8.75
Dec-11,-9.81
Jan-12,-15.16
Feb-12,-30.44
Mar-12,26.87
Apr-12,3.14
May-12,-0.61
Jun-12,-9.67
Jul-12,-12.47
Aug-12,-24.26
Sep-12,-21.60
Oct-12,-20.63
Nov-12,-25.32
Dec-12,-15.29
Jan-13,-1.79
Feb-13,-2.05
Mar-13,-1.55
Apr-13,-13.39
May-13,-8.21
Jun-13,14.00
Jul-13,13.77
Aug-13,33.87
Sep-13,39.12
Oct-13,11.91
Nov-13,-1.89
Dec-13,-14.30
Jan-14,-14.13
Feb-14,-26.91
Mar-14,-24.03
Apr-14,-21.24
May-14,-12.93
Jun-14,-8.45
Jul-14,28.33
Aug-14,2.84
Sep-14,3.36
Oct-14,-4.74
Nov-14,0.13
Dec-14,1.54
Jan-15,7.19
Feb-15,2.76
Mar-15,8.66
Apr-15,4.10
May-15,-1.51
Jun-15,-1.91
Jul-15,-18.05
Aug-15,1.89
Sep-15,0.62
Oct-15,-4.31
Nov-15,-8.01
Dec-15,-7.21
Jan-16,-20.14
Feb-16,-12.54
Mar-16,-4.58
Apr-16,-1.66
May-16,-10.04
Jun-16,-8.02
Jul-16,-11.04
Aug-16,-9.25
Sep-16,-8.97
Oct-16,-25.11
Nov-16,55.64
Dec-16,9.74
Jan-17,0.01
Feb-17,61.07
Mar-17,-2.79
Apr-17,0.39
May-17,4.62
Jun-17,11.90
Jul-17,10.71
Aug-17,0.17
Sep-17,-3.34
Oct-17,11.64
Nov-17,20.97
Dec-17,5.21
Jan-18,6.95
Feb-18,-4.30
Mar-18,-6.44
Apr-18,-9.30
May-18,-2.90
Jun-18,-12.56
Jul-18,-9.73
Aug-18,-14.77
Sep-18,-18.08
Oct-18,-16.63
Nov-18,-24.42
Dec-18,-11.25
Jan-19,-14.78
Feb-19,-2.73
Mar-19,-21.27
Apr-19,-15.40
May-19,-16.07
Jun-19,-17.18
Jul-19,12.61
Aug-19,9.78
Sep-19,17.05
Oct-19,-1.30
Nov-19,12.33
Dec-19,-3.00
Jan-20,12.10
Feb-20,32.29
Mar-20,17.27
Apr-20,10.39
May-20,6.07
Jun-20,-8.61
Jul-20,-19.04
Aug-20,-7.60
Sep-20,-0.22
Oct-20,5.14
Nov-20,-5.98
Dec-20,2.36
Jan-21,9.10
Feb-21,-0.61
Mar-21,2.51
Apr-21,0.24
May-21,-0.75
Jun-21,2.99
Jul-21,-6.82
Aug-21,4.64
Sep-21,-4.22
Oct-21,-0.34
Nov-21,-2.05
Dec-21,4.13
Jan-22,-6.80
Feb-22,-6.02
Mar-22,3.60
Apr-22,13.16
May-22,20.09
Jun-22,20.90
