"","Name.of.Company","Category","Prowess.Code"
"2","Aachi Masalafoods Pvt. Ltd.","Category 1",432664
"5","ADF Foods Ltd.","Category 3",783
"9","Anmol Industries Ltd.","Category 1",414638
"11","Asvini Fisheries Pvt. Ltd.","Category 1",23774
"13","Avanti Frozen Foods Pvt. Ltd.","Category 1",524469
"14","Balaji Wafers Pvt. Ltd.","Category 1",29450
"16","Bikaji Foods International Ltd.","Category 1",328203
"17","Bikanervala Foods Pvt. Ltd.","Category 1",399570
"18","Brahmins Foods India Pvt. Ltd.","Category 3",429926
"19","Britannia Industries Ltd.","Category 1",38924
"21","Choice Trading Corporation Pvt. Ltd.","Category 1",314421
"23","Dabur India Ltd.","Category 1",54885
"25","Devi Fisheries Ltd.","Category 1",281526
"26","Devi Sea Foods Ltd.","Category 1",59173
"32","Exotic Fruits Pvt. Ltd.","Category 1",345697
"33","Falcon Marine Exports Ltd.","Category 1",72030
"35","Fieldfresh Foods Pvt. Ltd.","Category 1",357699
"36","Foods And Inns Ltd.","Category 1",74341
"38","G.D. Foods Manufacturing (India) Pvt. Ltd.","Category 3",535576
"39","Gadre Marine Export Pvt. Ltd.","Category 1",77643
"40","Ganesh Grains Ltd.","Category 3",78632
"42","Gopal Snacks Pvt. Ltd.","Category 3",412872
"43","GRB Dairy Foods Pvt. Ltd.","Category 3",336084
"45","Gujarat Tea Processors And Packers Ltd.","Category 3",86945
"46","Haldiram Bhujiawala Ltd.","Category 3",325523
"47","Haldiram Foods International Pvt. Limted","Category 1",348998
"48","Haldiram Snacks Pvt. Ltd.","Category 1",89485
"49","Hatsun Agro Product Ltd.","Category 3",91480
"50","Hindustan Unilever Ltd.","Category 1",94080
"52","HSM Foods International Pvt. Ltd.","Category 3",565460
"53","Indapur Dairy And Milk Products Ltd.","Category 1",398277
"56","Iscon Balaji Foods Pvt. Ltd.","Category 1",488714
"57","ITC Ltd.","Category 1",97066
"59","Kancor Ingredients Ltd.","Category 1",115914
"60","Keventer Agro Ltd.","Category 1",119601
"61","KLA Foods (India) Ltd.","Category 3",372130
"62","KRBL Ltd.","Category 3",112888
"63","LT Foods Ltd.","Category 3",125758
"64","Manjilas Food Tech Pvt. Ltd.","Category 3",138942
"65","Marico Ltd.","Category 3",140097
"69","Moon Beverages Ltd.","Category 1",149122
"70","MTR Foods Pvt. Ltd.","Category 1",133154
"72","Nekkanti Sea Foods Ltd.","Category 1",157429
"73","Nestle India Ltd.","Category 1",157827
"76","Om Oil & Flour Mills Ltd.","Category 1",163543
"77","Organic India Pvt. Ltd.","Category 2",362711
"78","Pagariya Food Products Pvt. Ltd.","Category 3",533523
"79","Parag Milk Foods Ltd.","Category 1",384085
"80","Parle Agro Pvt. Ltd.","Category 1",171497
"81","Parle Biscuits Pvt. Ltd.","Category 1",171498
"85","Plant Lipids Pvt. Ltd.","Category 1",176208
"86","Prataap Snacks Ltd.","Category 1",399416
"87","Pravin Masalewale","Category 1",47406
"88","Rasna Pvt. Ltd.","Category 3",362694
"89","Ravi Foods Pvt. Ltd.","Category 3",327608
"92","Sahyadri Farmers Producer Company Ltd.","Category 1",511372
"93","Sami-Sabinsa Group Ltd.","Category 3",339129
"94","Sandhya Aqua","Category 1",391246
"95","Sandhya Marines Ltd.","Category 1",210328
"99","Shree Bhagwati Flour & Foods Pvt. Ltd.","Category 3",222337
"102","Sresta Natural Bioproducts Pvt. Ltd.","Category 3",476790
"104","Sunfresh Agro Industries Pvt. Ldt","Category 1",416884
"106","Suruchi Spices Pvt. Ltd.","Category 1",353460
"107","Synthite Industries P Ltd.","Category 1",245605
"108","Tasty Bite Eatables Ltd.","Category 1",248057
"109","Tata Consumer Products Ltd.","Category 1",248186
"111","Vadilal Industries Ltd.","Category 3",261277
"112","Varun Beverages Ltd.","Category 1",262869
"114","Vidya Herbs Pvt. Ltd.","Category 1",456205
"115","Weikfield Foods Pvt. Ltd.","Category 3",271188
"116","Western India Cashew Company Pvt. Ltd.","Category 2",384448
"118","Zea Maize Pvt. Ltd.","Category 3",528182
"119","Zydus Wellness Ltd.","Category 3",42684
