ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods|ca_export_incentives|ca_salaries_bonus_pf|ca_long_term_borrowings|ca_curr_portion_lt_borrowings|ca_gross_fixed_ast_addn|ca_gross_intangible_assets_tot_addn|ca_gross_fixed_ast_addn|ca_cf_net_frm_op_activity|ca_export_goods
104919|J V GOKAL & CO. PVT. LTD.|20160331|12|IGAAP|2522.7000|NA|177.3000|326.7000|NA|26.2000|8.8000|26.2000|NA|2555.2000
104919|J V GOKAL & CO. PVT. LTD.|20170331|12|IGAAP|2124.4000|NA|201.4000|165.1000|NA|50.7000|4.4000|50.7000|333.1000|NA
104919|J V GOKAL & CO. PVT. LTD.|20180331|12|IGAAP|1939.0000|NA|85.6000|74.4000|NA|128.9000|3.5000|128.9000|517.6000|NA
104919|J V GOKAL & CO. PVT. LTD.|20190331|12|IGAAP|1961.9000|NA|93.2000|81.8000|NA|25.5000|NA|25.5000|NA|NA
104919|J V GOKAL & CO. PVT. LTD.|20200331|12|IGAAP|1513.8000|NA|94.7000|97.2000|NA|45.9000|NA|45.9000|248.5000|NA
104919|J V GOKAL & CO. PVT. LTD.|20210331|12|IGAAP|1824.2000|NA|90.1000|152.2000|NA|91.8000|0.6000|91.8000|-103.8000|NA
104919|J V GOKAL & CO. PVT. LTD.|20220331|12|IGAAP|947.9000|NA|92.9000|136.8000|NA|63.8000|0.6000|63.8000|620.5000|NA
105265|JAGATJIT INDUSTRIES LTD.|20160331|12|IGAAP|10088.2000|1.6000|682.4000|1498.3000|NA|57.7000|NA|57.7000|186.3000|NA
105265|JAGATJIT INDUSTRIES LTD.|20170331|12|INDAS|7076.4000|0.3000|691.7000|2209.4000|NA|36.3000|NA|36.3000|97.4000|NA
105265|JAGATJIT INDUSTRIES LTD.|20180331|12|INDAS|4080.6000|7.8000|684.0000|2388.6000|NA|17.5000|NA|17.5000|76.0000|NA
105265|JAGATJIT INDUSTRIES LTD.|20190331|12|INDAS|1341.5000|4.1000|657.9000|2169.0000|NA|15.4000|NA|15.4000|508.2000|NA
105265|JAGATJIT INDUSTRIES LTD.|20200331|12|INDAS|1204.9000|1.7000|574.7000|2000.9000|NA|22.5000|NA|22.5000|163.0000|NA
105265|JAGATJIT INDUSTRIES LTD.|20210331|12|INDAS|3099.1000|0.6000|635.2000|2122.0000|41.4000|99.8000|NA|99.8000|252.5000|NA
105265|JAGATJIT INDUSTRIES LTD.|20220331|12|INDAS|3378.5000|6.6000|667.5000|2086.5000|48.5000|64.1000|NA|64.1000|140.9000|NA
105265|JAGATJIT INDUSTRIES LTD.|20230331|12|INDAS|4785.6000|9.0000|668.0000|1958.6000|147.4000|32.1000|NA|32.1000|122.5000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20160331|12|IGAAP|6920.0000|NA|265.8000|168.5000|65.2000|200.1000|1.6000|200.1000|138.9000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20170331|12|IGAAP|6809.6000|NA|290.8000|107.9000|65.5000|606.8000|6.2000|606.8000|211.9000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20180331|12|IGAAP|5879.9000|NA|304.5000|38.0000|65.2000|76.6000|2.0000|76.6000|486.4000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20190331|12|IGAAP|7544.2000|NA|321.2000|0.0000|38.0000|104.4000|0.3000|104.4000|196.3000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20200331|12|IGAAP|9037.7000|NA|366.9000|NA|NA|85.6000|4.1000|85.6000|-13.6000|NA
108225|JAY SHREE TEA & INDS. LTD.|20160331|12|IGAAP|7222.0000|34.5000|2082.4000|1415.8000|765.8000|349.5000|NA|349.5000|783.8000|NA
108225|JAY SHREE TEA & INDS. LTD.|20170331|12|INDAS|7031.1000|33.2000|2153.9000|1437.4000|797.6000|276.5000|NA|276.5000|507.9000|NA
108225|JAY SHREE TEA & INDS. LTD.|20180331|12|INDAS|7329.9000|31.2000|2092.6000|1635.7000|796.4000|251.3000|NA|251.3000|106.6000|NA
108225|JAY SHREE TEA & INDS. LTD.|20190331|12|INDAS|7295.7000|41.0000|2295.7000|1343.7000|771.1000|434.3000|2.8000|434.3000|634.5000|NA
108225|JAY SHREE TEA & INDS. LTD.|20200331|12|INDAS|6847.4000|30.6000|2384.2000|1360.0000|648.7000|1477.8000|1.9000|1477.8000|83.8000|NA
108225|JAY SHREE TEA & INDS. LTD.|20210331|12|INDAS|7653.7000|7.7000|2239.8000|698.8000|339.3000|564.7000|21.0000|564.7000|1213.1000|NA
108225|JAY SHREE TEA & INDS. LTD.|20220331|12|INDAS|6480.9000|16.3000|2397.1000|398.0000|282.6000|229.4000|NA|229.4000|105.1000|NA
108225|JAY SHREE TEA & INDS. LTD.|20230331|12|INDAS|7328.0000|9.1000|2629.7000|413.1000|301.1000|163.6000|3.6000|163.6000|-363.6000|NA
108391|JAYANT AGRO-ORGANICS LTD.|20160331|12|IGAAP|12501.6000|NA|257.5000|64.2000|NA|91.0000|NA|91.0000|111.6000|11786.3000
108391|JAYANT AGRO-ORGANICS LTD.|20170331|12|INDAS|16136.7000|307.8000|302.5000|7.5000|NA|46.2000|1.4000|46.2000|-1040.3000|14242.0000
108391|JAYANT AGRO-ORGANICS LTD.|20180331|12|INDAS|24871.6000|244.7000|343.0000|110.3000|NA|19.9000|NA|19.9000|-786.1000|NA
