sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_export_incentives|sa_salaries_bonus_pf|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_net_fixed_assets|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_gross_fixed_ast_addn|sa_cf_net_frm_op_activity|sa_export_goods
10037|AL KABEER EXPORTS PVT. LTD.|20160331|12|IGAAP|4697.5000|44.2000|139.9000|NA|NA|678.2000|40.3000|0.2000|40.3000|-114.9000|3974.6000
10037|AL KABEER EXPORTS PVT. LTD.|20170331|12|IGAAP|4529.8000|37.8000|104.5000|39.3000|24.4000|643.4000|57.7000|0.1000|57.7000|-30.7000|3879.1000
10037|AL KABEER EXPORTS PVT. LTD.|20180331|12|IGAAP|NA|NA|97.8000|14.8000|24.5000|579.8000|5.1000|0.1000|5.1000|NA|3843.8000
10037|AL KABEER EXPORTS PVT. LTD.|20190331|12|IGAAP|NA|NA|87.9000|0.0000|14.8000|534.3000|15.4000|NA|15.4000|NA|2907.4000
10037|AL KABEER EXPORTS PVT. LTD.|20200331|12|IGAAP|NA|NA|79.8000|NA|NA|480.3000|2.6000|NA|2.6000|NA|1926.8000
10037|AL KABEER EXPORTS PVT. LTD.|20210331|12|IGAAP|NA|NA|57.9000|NA|NA|431.9000|3.6000|NA|3.6000|162.1000|1178.8000
100984|INNOVATIVE FOODS LTD.|20160331|12|IGAAP|411.2000|1.9000|84.1000|NA|NA|91.2000|1.7000|0.7000|1.7000|-14.1000|56.6000
100984|INNOVATIVE FOODS LTD.|20170331|12|IGAAP|443.9000|3.7000|112.6000|NA|NA|94.4000|28.6000|0.5000|28.6000|-117.4000|68.6000
100984|INNOVATIVE FOODS LTD.|20180331|12|IGAAP|442.8000|1.6000|170.3000|87.1000|16.9000|248.1000|171.1000|0.2000|171.1000|-309.6000|58.9000
100984|INNOVATIVE FOODS LTD.|20190331|12|IGAAP|601.9000|4.7000|143.1000|76.8000|30.3000|278.6000|57.0000|0.2000|57.0000|-167.4000|80.0000
100984|INNOVATIVE FOODS LTD.|20200331|12|IGAAP|695.7000|6.3000|125.1000|62.9000|15.1000|256.1000|7.2000|0.2000|7.2000|-89.7000|85.0000
100984|INNOVATIVE FOODS LTD.|20210331|12|IGAAP|737.1000|8.7000|122.3000|66.0000|32.6000|236.8000|7.6000|0.3000|7.6000|2.0000|152.6000
10104|ALMAHA FOODS INTL. PVT. LTD.|20160331|12|IGAAP|1548.8000|NA|41.3000|NA|NA|74.9000|6.6000|NA|6.6000|18.7000|1346.1000
10104|ALMAHA FOODS INTL. PVT. LTD.|20170331|12|IGAAP|1697.8000|NA|49.1000|NA|NA|157.7000|94.6000|NA|94.6000|-201.4000|1520.2000
10104|ALMAHA FOODS INTL. PVT. LTD.|20180331|12|IGAAP|2147.6000|NA|50.9000|NA|NA|159.7000|14.7000|0.2000|14.7000|122.0000|NA
10104|ALMAHA FOODS INTL. PVT. LTD.|20190331|12|IGAAP|2269.1000|NA|67.5000|NA|NA|150.3000|4.6000|0.6000|4.6000|-35.2000|2279.3000
10104|ALMAHA FOODS INTL. PVT. LTD.|20200331|12|IGAAP|2123.6000|NA|73.5000|NA|NA|152.0000|15.5000|0.2000|15.5000|-292.4000|1830.5000
10104|ALMAHA FOODS INTL. PVT. LTD.|20210331|12|INDAS|2711.9000|NA|81.6000|NA|NA|146.4000|6.9000|0.1000|6.9000|460.7000|2387.3000
10104|ALMAHA FOODS INTL. PVT. LTD.|20220331|12|INDAS|2401.3000|NA|92.7000|NA|NA|137.7000|3.4000|NA|3.4000|-367.7000|2007.4000
101823|INTERCORP BIOTECH LTD.|20160331|12|IGAAP|50.5000|NA|8.7000|0.7000|0.3000|4.0000|0.1000|NA|0.1000|0.7000|4.7000
101823|INTERCORP BIOTECH LTD.|20170331|12|IGAAP|50.5000|NA|10.1000|0.4000|0.3000|3.2000|NA|NA|NA|4.7000|8.6000
101823|INTERCORP BIOTECH LTD.|20180331|12|IGAAP|72.8000|NA|12.2000|0.1000|0.3000|2.6000|0.3000|NA|0.3000|0.5000|8.7000
101823|INTERCORP BIOTECH LTD.|20190331|12|IGAAP|75.1000|NA|14.6000|0.0000|0.1000|1.9000|0.1000|NA|0.1000|-1.5000|13.6000
101823|INTERCORP BIOTECH LTD.|20200331|12|IGAAP|50.0000|NA|13.5000|NA|NA|1.7000|0.1000|NA|0.1000|NA|11.3000
101823|INTERCORP BIOTECH LTD.|20210331|12|IGAAP|45.0000|NA|12.8000|NA|NA|1.3000|NA|NA|NA|-1.8000|11.7000
101823|INTERCORP BIOTECH LTD.|20220331|12|IGAAP|67.2000|NA|13.2000|NA|NA|1.0000|NA|NA|NA|NA|18.9000
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20160331|12|INDAS|NA|NA|80.1000|282.5000|20.4000|247.6000|20.4000|NA|20.4000|55.8000|NA
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20170331|12|INDAS|NA|NA|70.0000|300.6000|23.9000|337.6000|111.9000|NA|111.9000|40.3000|NA
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20180331|12|INDAS|NA|NA|77.5000|246.9000|41.9000|319.6000|7.4000|NA|7.4000|81.8000|NA
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20190331|12|INDAS|NA|NA|84.4000|204.9000|41.8000|301.9000|6.7000|NA|6.7000|62.0000|NA
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20200331|12|INDAS|1215.7000|NA|89.7000|162.9000|52.4000|291.2000|14.1000|NA|14.1000|124.4000|NA
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20210331|12|INDAS|3565.1000|NA|91.4000|121.0000|41.9000|283.5000|20.0000|NA|20.0000|53.3000|NA
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20220331|12|INDAS|3252.1000|NA|90.4000|79.0000|41.9000|278.0000|20.5000|NA|20.5000|109.3000|NA
101942|INTERNATIONAL BAKERY PRODUCTS LTD.|20230331|12|INDAS|3928.9000|NA|112.7000|58.2000|20.8000|276.6000|19.3000|NA|19.3000|82.7000|NA
102023|INTERNATIONAL FRESH FARM PRODUCTS (INDIA) LTD.|20160331|12|IGAAP|258.5000|NA|17.9000|159.2000|NA|630.0000|1.1000|NA|1.1000|70.8000|NA
102023|INTERNATIONAL FRESH FARM PRODUCTS (INDIA) LTD.|20170331|12|IGAAP|161.4000|NA|15.4000|159.3000|NA|605.7000|0.3000|NA|0.3000|40.2000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20160331|12|INDAS|NA|NA|65.9000|172.5000|28.8000|189.2000|61.9000|NA|61.9000|51.2000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20170331|12|INDAS|NA|NA|75.0000|158.1000|31.6000|164.7000|15.7000|NA|15.7000|50.5000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20180331|12|INDAS|1008.6000|NA|79.4000|126.3000|31.7000|152.0000|19.4000|NA|19.4000|85.2000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20190331|12|INDAS|2286.7000|NA|92.9000|136.3000|40.0000|162.2000|38.1000|NA|38.1000|43.7000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20200331|12|INDAS|2334.8000|NA|101.0000|96.2000|40.0000|160.3000|28.9000|NA|28.9000|112.9000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20210331|12|INDAS|2751.9000|NA|115.4000|56.2000|40.0000|137.0000|2.1000|NA|2.1000|20.4000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20220331|12|INDAS|2919.3000|NA|127.2000|16.2000|40.0000|117.5000|0.7000|NA|0.7000|88.9000|NA
103320|J B MANGHARAM FOODS PVT. LTD.|20230331|12|INDAS|3113.1000|NA|144.0000|8.3000|7.8000|102.6000|1.4000|NA|1.4000|56.0000|NA
103506|J D C INDIA LTD.|20160331|12|IGAAP|81.5000|NA|6.2000|110.8000|NA|104.6000|12.9000|NA|12.9000|-21.3000|11.3000
103506|J D C INDIA LTD.|20170331|12|IGAAP|68.4000|NA|6.6000|110.6000|NA|92.6000|1.8000|NA|1.8000|8.4000|18.0000
103506|J D C INDIA LTD.|20180331|12|IGAAP|122.0000|NA|7.0000|117.6000|NA|81.0000|0.1000|NA|0.1000|-29.4000|NA
103506|J D C INDIA LTD.|20190331|12|IGAAP|148.1000|NA|9.1000|117.6000|NA|71.1000|NA|NA|NA|42.9000|NA
103506|J D C INDIA LTD.|20200331|12|IGAAP|115.5000|NA|8.2000|117.6000|NA|62.6000|0.1000|NA|0.1000|16.6000|NA
103506|J D C INDIA LTD.|20210331|12|IGAAP|58.7000|NA|7.6000|112.6000|NA|55.5000|NA|NA|NA|15.0000|NA
