ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods
3|'K' STEAMSHIP AGENCIES PVT. LTD.|20170331|12|IGAAP|NA
3|'K' STEAMSHIP AGENCIES PVT. LTD.|20180331|12|IGAAP|NA
3|'K' STEAMSHIP AGENCIES PVT. LTD.|20190331|12|IGAAP|NA
3|'K' STEAMSHIP AGENCIES PVT. LTD.|20200331|12|IGAAP|NA
3|'K' STEAMSHIP AGENCIES PVT. LTD.|20210331|12|IGAAP|NA
3|'K' STEAMSHIP AGENCIES PVT. LTD.|20220331|12|IGAAP|NA
11|20 MICRONS LTD.|20170331|12|INDAS|4094.3000
11|20 MICRONS LTD.|20180331|12|INDAS|4304.9000
11|20 MICRONS LTD.|20190331|12|INDAS|4794.4000
11|20 MICRONS LTD.|20200331|12|INDAS|5291.9000
11|20 MICRONS LTD.|20210331|12|INDAS|4833.1000
11|20 MICRONS LTD.|20220331|12|INDAS|6114.4000
11|20 MICRONS LTD.|20230331|12|INDAS|7007.6000
13|GREENSTONE INVESTMENTS PVT. LTD.|20170331|12|IGAAP|NA
13|GREENSTONE INVESTMENTS PVT. LTD.|20180331|12|IGAAP|NA
13|GREENSTONE INVESTMENTS PVT. LTD.|20190331|12|IGAAP|NA
13|GREENSTONE INVESTMENTS PVT. LTD.|20200331|12|IGAAP|NA
13|GREENSTONE INVESTMENTS PVT. LTD.|20210331|12|IGAAP|NA
13|GREENSTONE INVESTMENTS PVT. LTD.|20220331|12|IGAAP|NA
13|GREENSTONE INVESTMENTS PVT. LTD.|20230331|12|IGAAP|NA
286|G P PROJECTS LTD.|20170331|12|IGAAP|NA
286|G P PROJECTS LTD.|20180331|12|IGAAP|NA
286|G P PROJECTS LTD.|20190331|12|IGAAP|NA
286|G P PROJECTS LTD.|20200331|12|IGAAP|NA
286|G P PROJECTS LTD.|20210331|12|IGAAP|NA
286|G P PROJECTS LTD.|20220331|12|IGAAP|NA
304|A B C OVERSEAS PVT. LTD.|20170331|12|IGAAP|NA
304|A B C OVERSEAS PVT. LTD.|20180331|12|IGAAP|NA
304|A B C OVERSEAS PVT. LTD.|20190331|12|IGAAP|NA
304|A B C OVERSEAS PVT. LTD.|20200331|12|IGAAP|NA
304|A B C OVERSEAS PVT. LTD.|20210331|12|IGAAP|NA
304|A B C OVERSEAS PVT. LTD.|20220331|12|IGAAP|NA
360|VADRAJ CEMENT LTD.|20170331|12|INDAS|835.5000
363|STARLOG ENTERPRISES LTD.|20170331|12|IGAAP|NA
363|STARLOG ENTERPRISES LTD.|20180331|12|INDAS|NA
363|STARLOG ENTERPRISES LTD.|20190331|12|INDAS|NA
363|STARLOG ENTERPRISES LTD.|20200331|12|INDAS|NA
363|STARLOG ENTERPRISES LTD.|20210331|12|INDAS|NA
363|STARLOG ENTERPRISES LTD.|20220331|12|INDAS|NA
363|STARLOG ENTERPRISES LTD.|20230331|12|INDAS|NA
381|A B I-SHOWATECH (INDIA) PVT. LTD.|20170331|12|IGAAP|5264.7000
414|A B M INTERNATIONAL LTD.|20170331|12|INDAS|NA
414|A B M INTERNATIONAL LTD.|20180331|12|INDAS|NA
414|A B M INTERNATIONAL LTD.|20190331|12|INDAS|NA
414|A B M INTERNATIONAL LTD.|20200331|12|INDAS|NA
414|A B M INTERNATIONAL LTD.|20210331|12|INDAS|NA
414|A B M INTERNATIONAL LTD.|20220331|12|INDAS|NA
414|A B M INTERNATIONAL LTD.|20230331|12|INDAS|NA
415|A B M KNOWLEDGEWARE LTD.|20180331|12|INDAS|NA
415|A B M KNOWLEDGEWARE LTD.|20190331|12|INDAS|NA
415|A B M KNOWLEDGEWARE LTD.|20200331|12|INDAS|NA
415|A B M KNOWLEDGEWARE LTD.|20210331|12|INDAS|NA
415|A B M KNOWLEDGEWARE LTD.|20220331|12|INDAS|NA
415|A B M KNOWLEDGEWARE LTD.|20230331|12|INDAS|NA
457|A B P PVT. LTD.|20170331|12|INDAS|1971.3000
457|A B P PVT. LTD.|20180331|12|INDAS|1871.4000
457|A B P PVT. LTD.|20190331|12|INDAS|1843.0000
457|A B P PVT. LTD.|20200331|12|INDAS|1702.0000
457|A B P PVT. LTD.|20210331|12|INDAS|1115.1000
457|A B P PVT. LTD.|20220331|12|INDAS|1156.2000
520|A B T INDUSTRIES LTD.|20170331|12|IGAAP|2206.8000
520|A B T INDUSTRIES LTD.|20180331|12|IGAAP|2222.8000
522|A B T LTD.|20180331|12|INDAS|NA
522|A B T LTD.|20190331|12|INDAS|NA
522|A B T LTD.|20200331|12|INDAS|NA
522|A B T LTD.|20210331|12|INDAS|NA
522|A B T LTD.|20220331|12|INDAS|NA
595|A C E DESIGNERS LTD.|20170331|12|IGAAP|5847.3000
595|A C E DESIGNERS LTD.|20180331|12|INDAS|7695.8000
595|A C E DESIGNERS LTD.|20190331|12|INDAS|9685.6000
595|A C E DESIGNERS LTD.|20200331|12|INDAS|4851.3000
595|A C E DESIGNERS LTD.|20210331|12|INDAS|6421.2000
595|A C E DESIGNERS LTD.|20220331|12|INDAS|9764.3000
623|A C E MANUFACTURING SYSTEMS LTD.|20170331|12|IGAAP|4705.3000
623|A C E MANUFACTURING SYSTEMS LTD.|20180331|12|INDAS|5211.6000
623|A C E MANUFACTURING SYSTEMS LTD.|20190331|12|INDAS|6327.5000
623|A C E MANUFACTURING SYSTEMS LTD.|20200331|12|INDAS|3804.8000
623|A C E MANUFACTURING SYSTEMS LTD.|20210331|12|INDAS|4008.4000
623|A C E MANUFACTURING SYSTEMS LTD.|20220331|12|INDAS|6810.3000
623|A C E MANUFACTURING SYSTEMS LTD.|20230331|12|INDAS|8726.1000
725|A C S TECHNOLOGIES LTD. [MERGED]|20180331|12|IGAAP|NA
725|A C S TECHNOLOGIES LTD. [MERGED]|20190331|12|IGAAP|NA
725|A C S TECHNOLOGIES LTD. [MERGED]|20200331|12|IGAAP|NA
725|A C S TECHNOLOGIES LTD. [MERGED]|20210331|12|IGAAP|NA
725|A C S TECHNOLOGIES LTD. [MERGED]|20220331|12|IGAAP|NA
771|CEINSYS TECH LTD.|20170331|12|INDAS|NA
771|CEINSYS TECH LTD.|20180331|12|INDAS|NA
771|CEINSYS TECH LTD.|20190331|12|INDAS|NA
771|CEINSYS TECH LTD.|20200331|12|INDAS|NA
771|CEINSYS TECH LTD.|20210331|12|INDAS|NA
771|CEINSYS TECH LTD.|20220331|12|INDAS|NA
771|CEINSYS TECH LTD.|20230331|12|INDAS|NA
783|A D F FOODS LTD.|20170331|12|IGAAP|1420.8000
783|A D F FOODS LTD.|20180331|12|INDAS|2010.2000
783|A D F FOODS LTD.|20190331|12|INDAS|2314.4000
783|A D F FOODS LTD.|20200331|12|INDAS|2728.2000
783|A D F FOODS LTD.|20210331|12|INDAS|3614.4000
783|A D F FOODS LTD.|20220331|12|INDAS|4048.1000
783|A D F FOODS LTD.|20230331|12|INDAS|4441.4000
912|A F ENTERPRISES LTD.|20210331|12|INDAS|NA
912|A F ENTERPRISES LTD.|20220331|12|INDAS|NA
912|A F ENTERPRISES LTD.|20230331|12|INDAS|NA
923|A F L PVT. LTD.|20170331|12|IGAAP|NA
923|A F L PVT. LTD.|20180331|12|IGAAP|NA
923|A F L PVT. LTD.|20190331|12|IGAAP|NA
923|A F L PVT. LTD.|20200331|12|IGAAP|NA
923|A F L PVT. LTD.|20210331|12|IGAAP|NA
923|A F L PVT. LTD.|20220331|12|IGAAP|NA
926|DACHSER INDIA PVT. LTD.|20170331|12|IGAAP|NA
926|DACHSER INDIA PVT. LTD.|20180331|12|IGAAP|NA
926|DACHSER INDIA PVT. LTD.|20190331|12|IGAAP|NA
926|DACHSER INDIA PVT. LTD.|20200331|12|IGAAP|NA
926|DACHSER INDIA PVT. LTD.|20210331|12|IGAAP|NA
926|DACHSER INDIA PVT. LTD.|20220331|12|IGAAP|NA
935|INDO-MIM PVT. LTD.|20180331|12|INDAS|11562.3000
935|INDO-MIM PVT. LTD.|20190331|12|INDAS|14002.1000
935|INDO-MIM PVT. LTD.|20200331|12|INDAS|15492.6000
935|INDO-MIM PVT. LTD.|20210331|12|INDAS|19745.7000
935|INDO-MIM PVT. LTD.|20220331|12|INDAS|25030.2000
975|A G INDUSTRIES PVT. LTD.|20170331|12|INDAS|11736.3000
975|A G INDUSTRIES PVT. LTD.|20180331|12|INDAS|13835.5000
975|A G INDUSTRIES PVT. LTD.|20190331|12|INDAS|14387.4000
975|A G INDUSTRIES PVT. LTD.|20200331|12|INDAS|11584.4000
975|A G INDUSTRIES PVT. LTD.|20210331|12|INDAS|11125.8000
975|A G INDUSTRIES PVT. LTD.|20220331|12|INDAS|11569.4000
975|A G INDUSTRIES PVT. LTD.|20230331|12|INDAS|13228.8000
1021|A G R INVESTMENTS LTD.|20170331|12|IGAAP|NA
1021|A G R INVESTMENTS LTD.|20180331|12|IGAAP|NA
1021|A G R INVESTMENTS LTD.|20190331|12|IGAAP|NA
1021|A G R INVESTMENTS LTD.|20200331|12|IGAAP|NA
1021|A G R INVESTMENTS LTD.|20210331|12|IGAAP|NA
1021|A G R INVESTMENTS LTD.|20220331|12|IGAAP|NA
1120|A I A ENGINEERING LTD.|20170331|12|INDAS|22392.3000
1120|A I A ENGINEERING LTD.|20180331|12|INDAS|23999.9000
1120|A I A ENGINEERING LTD.|20190331|12|INDAS|29727.2000
1120|A I A ENGINEERING LTD.|20200331|12|INDAS|28940.0000
1120|A I A ENGINEERING LTD.|20210331|12|INDAS|28283.1000
1120|A I A ENGINEERING LTD.|20220331|12|INDAS|35160.4000
1120|A I A ENGINEERING LTD.|20230331|12|INDAS|48388.0000
1317|A K CAPITAL SERVICES LTD.|20170331|12|IGAAP|NA
1317|A K CAPITAL SERVICES LTD.|20180331|12|FS_INDAS|NA
1317|A K CAPITAL SERVICES LTD.|20190331|12|FS_INDAS|NA
1317|A K CAPITAL SERVICES LTD.|20200331|12|FS_INDAS|NA
1317|A K CAPITAL SERVICES LTD.|20210331|12|FS_INDAS|NA
1317|A K CAPITAL SERVICES LTD.|20220331|12|FS_INDAS|NA
1317|A K CAPITAL SERVICES LTD.|20230331|12|FS_INDAS|NA
1584|AMITY SOFTWARE SYSTEMS LTD.|20210331|12|IGAAP|NA
1584|AMITY SOFTWARE SYSTEMS LTD.|20220331|12|IGAAP|NA
1723|A L M INFOTECH CITY PVT. LTD.|20170331|12|IGAAP|NA
1723|A L M INFOTECH CITY PVT. LTD.|20180331|12|IGAAP|NA
1723|A L M INFOTECH CITY PVT. LTD.|20190331|12|IGAAP|NA
1724|A L M INDUSTRIES LTD.|20180331|12|IGAAP|7698.6000
1724|A L M INDUSTRIES LTD.|20190331|12|IGAAP|6919.1000
1724|A L M INDUSTRIES LTD.|20200331|12|IGAAP|11474.2000
1724|A L M INDUSTRIES LTD.|20210331|12|IGAAP|11313.8000
1724|A L M INDUSTRIES LTD.|20220331|12|IGAAP|9916.0000
1882|T E CONNECTIVITY INDIA PVT. LTD.|20180331|12|INDAS|6105.1000
1882|T E CONNECTIVITY INDIA PVT. LTD.|20190331|12|INDAS|7002.1000
1884|ANAND N V H PRODUCTS PVT. LTD.|20170331|12|IGAAP|3062.0000
1884|ANAND N V H PRODUCTS PVT. LTD.|20180331|12|IGAAP|3442.6000
1884|ANAND N V H PRODUCTS PVT. LTD.|20190331|12|IGAAP|4110.2000
1884|ANAND N V H PRODUCTS PVT. LTD.|20200331|12|IGAAP|3474.6000
1884|ANAND N V H PRODUCTS PVT. LTD.|20210331|12|IGAAP|2543.1000
1884|ANAND N V H PRODUCTS PVT. LTD.|20220331|12|IGAAP|2541.7000
2015|A N G INDUSTRIES LTD.|20170331|12|IGAAP|885.0000
2131|A O V FOREX PVT. LTD.|20170331|12|IGAAP|NA
2131|A O V FOREX PVT. LTD.|20180331|12|IGAAP|NA
2131|A O V FOREX PVT. LTD.|20190331|12|IGAAP|NA
2131|A O V FOREX PVT. LTD.|20200331|12|IGAAP|NA
