co_code|company_name|co_industry_gp_code|co_industry_name|nic_prod_code|nic_name
112888|K R B L LTD.|0101011150000000|Other agricultural products|01124|Inorganic farming of non-basmati rice
115914|MANE KANCOR INGREDIENTS PVT. LTD.|0101012501000000|Cosmetics, toiletries, soaps & detergents|20293|Manufacture of essential oils; modification by chemical processes of oils and fats (e.g. by oxidation, polymerization etc.)
119601|KEVENTER AGRO LTD.|0101011101701000|Processed foods|10304|Manufacture of fruit or vegetable juices and their concentrates, squashes and powder
125758|L T FOODS LTD.|0101011150000000|Other agricultural products|01124|Inorganic farming of non-basmati rice
133154|M T R FOODS PVT. LTD.|0101011101701000|Processed foods|1075|Manufacture of prepared meals and dishes
138942|MANJILAS FOOD TECH PVT. LTD.|0101011150000000|Other agricultural products|01124|Inorganic farming of non-basmati rice
140097|MARICO LTD.|0101011101200000|Vegetable oils & products|10402|Manufacture of vegetable oils and fats excluding corn oil
149122|MOON BEVERAGES LTD.|0101011101701000|Processed foods|11045|Manufacture of soft drinks
157429|NEKKANTI SEA FOODS LTD.|0101011101702000|Marine foods|10204|Processing and preserving of fish crustacean and similar foods
157827|NESTLE INDIA LTD.|0101011101701000|Processed foods|11049|Manufacture of other non-alcoholic beverages n.e.c.
163543|OM OIL & FLOUR MILLS LTD.|0101016000000000|Diversified manufacturing|34|Diversified
171497|PARLE AGRO PVT. LTD.|0101011101701000|Processed foods|10304|Manufacture of fruit or vegetable juices and their concentrates, squashes and powder
171498|PARLE BISCUITS PVT. LTD.|0101011101700500|Bakery products|10712|Manufacture of biscuits, cakes, pastries, rusks etc.
176208|PLANT LIPIDS PVT. LTD.|0101012501000000|Cosmetics, toiletries, soaps & detergents|20293|Manufacture of essential oils; modification by chemical processes of oils and fats (e.g. by oxidation, polymerization etc.)
180008|PRAVIN FOODS PVT. LTD. [MERGED]|0101011101701000|Processed foods|10616|Manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains
210328|SANDHYA MARINES LTD.|0101011101702000|Marine foods|10204|Processing and preserving of fish crustacean and similar foods
222337|SHREE BHAGWATI FLOUR & FOODS PVT. LTD.|0101040405000000|Retail trading|47211|Retail sale of cereals and pulses, tea, coffee, spices and flour
23774|ASVINI FISHERIES PVT. LTD.|0101011101702000|Marine foods|10204|Processing and preserving of fish crustacean and similar foods
245605|SYNTHITE INDUSTRIES PVT. LTD.|0101016000000000|Diversified manufacturing|34|Diversified
248057|TASTY BITE EATABLES LTD.|0101011101701000|Processed foods|10799|Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like Manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)
248186|TATA CONSUMER PRODUCTS LTD.|0101011101050000|Tea|10791|Processing and blending of tea including Manufacture of instant tea
261277|VADILAL INDUSTRIES LTD.|0101011101010000|Dairy products|10505|Manufacture of ice-cream, kulfi etc.
262869|VARUN BEVERAGES LTD.|0101011101701000|Processed foods|11049|Manufacture of other non-alcoholic beverages n.e.c.
271188|WEIKFIELD FOODS PVT. LTD.|0101011101701000|Processed foods|11049|Manufacture of other non-alcoholic beverages n.e.c.
281526|DEVI FISHERIES LTD.|0101011101702000|Marine foods|10204|Processing and preserving of fish crustacean and similar foods
29450|BALAJI WAFERS PVT. LTD.|0101011101701000|Processed foods|10308|Manufacture of potato flour & meals and prepared meals of vegetables
314421|CHOICE TRADING CORPN. PVT. LTD.|0101011101702000|Marine foods|10204|Processing and preserving of fish crustacean and similar foods
325523|HALDIRAM BHUJIAWALA LTD.|0101011101701000|Processed foods|1075|Manufacture of prepared meals and dishes
327608|RAVI FOODS PVT. LTD.|0101011101700500|Bakery products|10712|Manufacture of biscuits, cakes, pastries, rusks etc.
328203|BIKAJI FOODS INTL. LTD.|0101011101701000|Processed foods|10799|Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like Manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)
336084|G R B DAIRY FOODS PVT. LTD.|0101011101010000|Dairy products|10504|Manufacture of cream, butter, cheese, curd, ghee, khoya etc.
339129|SAMI-SABINSA GROUP LTD.|0101012030000000|Drugs & pharmaceuticals|21003|Manufacture of 'ayurvedic' or 'unani' pharmaceutical preparation
345697|EXOTIC FRUITS PVT. LTD.|0101011101701000|Processed foods|10304|Manufacture of fruit or vegetable juices and their concentrates, squashes and powder
348998|HALDIRAM FOODS INTL. LTD.|0101011101701000|Processed foods|10616|Manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains
353460|SURUCHI SPICES PVT. LTD.|0101011150000000|Other agricultural products|01284|Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)
357699|DEL MONTE FOODS PVT. LTD.|0101011101701000|Processed foods|10799|Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like Manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)
362694|RASNA PVT. LTD.|0101011101701000|Processed foods|11045|Manufacture of soft drinks
362711|ORGANIC INDIA PVT. LTD.|0101011150000000|Other agricultural products|01286|Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes
372130|K L A FOODS INDIA LTD.|0101040401000000|Wholesale trading|46201|Wholesale of cereals & pulses
384085|PARAG MILK FOODS LTD.|0101011101010000|Dairy products|10509|Manufacture of other dairy products n.e.c.
384448|WESTERN INDIA CASHEW CO. PVT. LTD.|0101011150000000|Other agricultural products|01252|Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts pistachios, walnuts and other nuts)
