sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_net_fixed_assets|sa_cf_net_frm_op_activity
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20150331|12|IGAAP|2728.0000|71.5000|NA|82.6000|0.6000|484.9000|113.2000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20160331|12|IGAAP|3550.3000|142.0000|31.8000|84.8000|0.6000|519.8000|-339.1000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20170331|12|IGAAP|4115.0000|192.0000|NA|34.5000|2.0000|497.1000|512.5000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20180331|12|IGAAP|4338.0000|273.7000|98.9000|147.7000|3.4000|599.3000|61.0000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20190331|12|IGAAP|5360.6000|519.9000|NA|NA|NA|774.6000|526.3000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20200331|12|IGAAP|5785.9000|1100.2000|139.5000|405.8000|1.6000|1098.4000|315.6000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20210331|12|IGAAP|6371.1000|1368.1000|NA|NA|NA|1268.3000|NA
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20220331|12|IGAAP|7733.8000|2124.0000|NA|NA|NA|1556.8000|-953.0000
119601|KEVENTER AGRO LTD.|20150331|12|IGAAP|1919.1000|1349.1000|166.6000|178.9000|NA|991.5000|390.9000
119601|KEVENTER AGRO LTD.|20160331|12|IGAAP|2073.3000|1450.8000|145.1000|158.4000|NA|1059.2000|214.3000
119601|KEVENTER AGRO LTD.|20170331|12|IGAAP|2365.4000|1037.9000|136.5000|237.0000|2.9000|1177.0000|710.6000
119601|KEVENTER AGRO LTD.|20180331|12|INDAS|2553.5000|564.9000|145.9000|131.9000|0.2000|1931.9000|-24.0000
119601|KEVENTER AGRO LTD.|20190331|12|INDAS|6276.5000|1292.5000|132.9000|1041.2000|NA|3914.8000|1242.3000
119601|KEVENTER AGRO LTD.|20200331|12|INDAS|7442.0000|1496.3000|321.0000|896.8000|11.3000|4348.5000|300.5000
119601|KEVENTER AGRO LTD.|20210331|12|INDAS|8111.0000|1734.6000|191.7000|472.9000|8.0000|4356.8000|860.1000
119601|KEVENTER AGRO LTD.|20220331|12|INDAS|8312.0000|2034.3000|508.9000|692.6000|NA|4652.5000|210.0000
133154|M T R FOODS PVT. LTD.|20150331|12|IGAAP|5213.7000|31.3000|4.6000|135.1000|7.9000|1302.4000|385.9000
133154|M T R FOODS PVT. LTD.|20160331|12|IGAAP|5910.8000|25.4000|5.9000|114.5000|6.4000|1254.7000|570.6000
133154|M T R FOODS PVT. LTD.|20170331|12|IGAAP|6481.7000|18.2000|7.3000|637.3000|6.1000|1720.9000|659.7000
133154|M T R FOODS PVT. LTD.|20180331|12|IGAAP|6526.6000|9.2000|9.0000|624.5000|6.8000|2119.6000|712.7000
133154|M T R FOODS PVT. LTD.|20190331|12|IGAAP|7022.1000|0.0000|9.2000|321.2000|31.0000|2205.6000|855.6000
133154|M T R FOODS PVT. LTD.|20200331|12|INDAS|7369.3000|306.6000|NA|226.0000|10.3000|2211.2000|963.4000
133154|M T R FOODS PVT. LTD.|20210331|12|INDAS|8687.3000|269.8000|NA|176.7000|7.1000|2081.2000|1438.9000
133154|M T R FOODS PVT. LTD.|20220331|12|INDAS|8826.8000|265.4000|NA|329.5000|10.6000|2116.6000|907.1000
149122|MOON BEVERAGES LTD.|20150331|12|IGAAP|3845.6000|2699.0000|NA|NA|NA|1457.9000|174.8000
149122|MOON BEVERAGES LTD.|20160331|12|IGAAP|3840.5000|2677.6000|NA|460.1000|NA|1620.2000|NA
149122|MOON BEVERAGES LTD.|20170331|12|IGAAP|4221.6000|2457.7000|NA|100.3000|NA|1437.5000|334.0000
149122|MOON BEVERAGES LTD.|20180331|12|IGAAP|4328.6000|2135.8000|NA|155.8000|NA|1313.4000|NA
149122|MOON BEVERAGES LTD.|20190331|12|IGAAP|4472.2000|1974.6000|NA|78.4000|NA|1160.9000|371.1000
149122|MOON BEVERAGES LTD.|20200331|12|IGAAP|5605.3000|6085.5000|NA|1787.6000|NA|5340.4000|752.8000
149122|MOON BEVERAGES LTD.|20210331|12|IGAAP|8539.2000|5384.8000|NA|159.9000|NA|4192.5000|1136.8000
149122|MOON BEVERAGES LTD.|20220331|12|IGAAP|11649.6000|6343.4000|NA|592.2000|NA|3876.6000|1334.2000
157429|NEKKANTI SEA FOODS LTD.|20150331|12|IGAAP|6858.8000|NA|NA|59.0000|NA|244.0000|456.2000
157429|NEKKANTI SEA FOODS LTD.|20160331|12|IGAAP|7473.1000|30.0000|20.0000|60.8000|NA|250.7000|478.1000
157429|NEKKANTI SEA FOODS LTD.|20170331|12|INDAS|8297.3000|NA|NA|831.3000|2.1000|936.7000|-183.5000
157429|NEKKANTI SEA FOODS LTD.|20180331|12|INDAS|12036.4000|NA|NA|185.1000|1.4000|945.3000|917.1000
157429|NEKKANTI SEA FOODS LTD.|20190331|12|INDAS|11289.7000|10.0000|NA|54.8000|NA|834.8000|689.0000
157429|NEKKANTI SEA FOODS LTD.|20200331|12|INDAS|12977.9000|NA|NA|221.0000|0.5000|892.4000|1057.1000
157429|NEKKANTI SEA FOODS LTD.|20210331|12|INDAS|12363.6000|83.9000|30.0000|490.1000|NA|1233.7000|-722.7000
157429|NEKKANTI SEA FOODS LTD.|20220331|12|INDAS|22209.8000|120.0000|NA|1021.5000|2.3000|2045.0000|-470.9000
157429|NEKKANTI SEA FOODS LTD.|20230331|12|INDAS|11080.2000|NA|NA|178.6000|NA|1893.5000|4284.8000
157827|NESTLE INDIA LTD.|20141231|12|IGAAP|101295.0000|154.6000|NA|2004.3000|NA|31766.4000|16889.7000
