date,repo_rate
08-02-2023,6.5
07-12-2022,6.25
30-09-2022,5.9
05-08-2022,5.4
08-06-2022,4.9
21-05-2022,-
04-05-2022,4.4
08-04-2022,-
22-05-2021,-
27-03-2021,-
22-05-2020,4
17-04-2020,4.4
11-04-2020,-
28-03-2020,-
27-03-2020,4.4
04-01-2020,-
12-10-2019,-
04-10-2019,5.15
07-08-2019,5.4
06-07-2019,-
06-06-2019,5.75
13-04-2019,-
04-04-2019,6
07-02-2019,6.25
05-01-2019,-
01-08-2018,6.5
06-06-2018,6.25
14-10-2017,-
02-08-2017,6
24-06-2017,-
06-04-2017,-
07-01-2017,-
04-10-2016,6.25
01-10-2016,-
09-07-2016,-
05-04-2016,6.5
02-04-2016,-
29-09-2015,6.75
02-06-2015,7.25
04-03-2015,7.5
07-02-2015,-
15-01-2015,7.75
09-08-2014,-
14-06-2014,-
28-01-2014,8
29-10-2013,7.75
07-10-2013,-
20-09-2013,7.5
15-07-2013,-
03-05-2013,7.25
19-03-2013,7.5
09-02-2013,-
29-01-2013,7.75
