ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods
112888|K R B L LTD.|20170331|12|INDAS|30313.9000
112888|K R B L LTD.|20180331|12|INDAS|30976.6000
112888|K R B L LTD.|20190331|12|INDAS|39664.7000
112888|K R B L LTD.|20200331|12|INDAS|43541.2000
112888|K R B L LTD.|20210331|12|INDAS|38785.4000
112888|K R B L LTD.|20220331|12|INDAS|40788.1000
112888|K R B L LTD.|20230331|12|INDAS|52215.6000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20170331|12|IGAAP|4122.7000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20180331|12|IGAAP|4338.0000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20190331|12|IGAAP|5360.6000
119601|KEVENTER AGRO LTD.|20170331|12|INDAS|5519.6000
119601|KEVENTER AGRO LTD.|20180331|12|INDAS|5920.3000
119601|KEVENTER AGRO LTD.|20190331|12|INDAS|6276.5000
125758|L T FOODS LTD.|20170331|12|INDAS|32255.9000
125758|L T FOODS LTD.|20180331|12|INDAS|35937.5000
125758|L T FOODS LTD.|20190331|12|INDAS|38724.4000
125758|L T FOODS LTD.|20200331|12|INDAS|41184.4000
125758|L T FOODS LTD.|20210331|12|INDAS|47140.8000
125758|L T FOODS LTD.|20220331|12|INDAS|53580.8000
125758|L T FOODS LTD.|20230331|12|INDAS|68644.3000
133154|M T R FOODS PVT. LTD.|20170331|12|IGAAP|6626.5000
133154|M T R FOODS PVT. LTD.|20180331|12|IGAAP|6675.4000
133154|M T R FOODS PVT. LTD.|20190331|12|IGAAP|7170.4000
133154|M T R FOODS PVT. LTD.|20200331|12|INDAS|7506.0000
133154|M T R FOODS PVT. LTD.|20210331|12|INDAS|8705.8000
133154|M T R FOODS PVT. LTD.|20220331|12|INDAS|17084.7000
140097|MARICO LTD.|20170331|12|INDAS|59180.3000
140097|MARICO LTD.|20180331|12|INDAS|68380.0000
140097|MARICO LTD.|20190331|12|INDAS|78800.0000
140097|MARICO LTD.|20200331|12|INDAS|79960.0000
140097|MARICO LTD.|20210331|12|INDAS|87920.0000
140097|MARICO LTD.|20220331|12|INDAS|104890.0000
140097|MARICO LTD.|20230331|12|INDAS|109490.0000
149122|MOON BEVERAGES LTD.|20170331|12|IGAAP|5458.9000
149122|MOON BEVERAGES LTD.|20180331|12|IGAAP|4652.1000
149122|MOON BEVERAGES LTD.|20190331|12|IGAAP|4785.6000
149122|MOON BEVERAGES LTD.|20200331|12|IGAAP|6011.5000
149122|MOON BEVERAGES LTD.|20210331|12|IGAAP|8716.3000
149122|MOON BEVERAGES LTD.|20220331|12|IGAAP|11793.0000
157429|NEKKANTI SEA FOODS LTD.|20170331|12|INDAS|7679.5000
157429|NEKKANTI SEA FOODS LTD.|20180331|12|INDAS|12036.4000
157429|NEKKANTI SEA FOODS LTD.|20190331|12|INDAS|11291.0000
157429|NEKKANTI SEA FOODS LTD.|20200331|12|INDAS|12977.8000
157429|NEKKANTI SEA FOODS LTD.|20210331|12|INDAS|12803.4000
