ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods|ca_export_incentives|ca_salaries_bonus_pf|ca_long_term_borrowings|ca_curr_portion_lt_borrowings|ca_gross_fixed_ast_addn|ca_gross_intangible_assets_tot_addn|ca_gross_fixed_ast_addn|ca_cf_net_frm_op_activity|ca_export_goods
112888|K R B L LTD.|20160331|12|INDAS|32653.9000|NA|586.7000|2032.2000|728.4000|1858.1000|2.5000|1858.1000|5113.2000|17811.0000
112888|K R B L LTD.|20170331|12|INDAS|30313.9000|NA|663.6000|873.2000|377.0000|3058.0000|0.2000|3058.0000|2587.7000|10778.4000
112888|K R B L LTD.|20180331|12|INDAS|30976.6000|NA|666.5000|519.5000|291.6000|384.9000|2.2000|384.9000|607.6000|NA
112888|K R B L LTD.|20190331|12|INDAS|39664.7000|NA|743.0000|332.4000|134.4000|295.9000|2.0000|295.9000|-1148.6000|NA
112888|K R B L LTD.|20200331|12|INDAS|43541.2000|NA|828.0000|892.2000|134.4000|1225.9000|6.8000|1225.9000|12118.8000|NA
112888|K R B L LTD.|20210331|12|INDAS|38785.4000|NA|896.3000|592.1000|134.4000|574.9000|2.3000|574.9000|3837.3000|NA
112888|K R B L LTD.|20220331|12|INDAS|40788.1000|NA|1005.7000|504.9000|58.7000|519.7000|5.2000|519.7000|5608.2000|NA
112888|K R B L LTD.|20230331|12|INDAS|52215.6000|NA|1151.9000|367.8000|NA|891.5000|11.9000|891.5000|-3601.0000|NA
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20160331|12|IGAAP|3550.6000|144.0000|269.4000|142.0000|NA|85.4000|0.6000|85.4000|NA|NA
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20170331|12|IGAAP|4122.7000|148.0000|275.6000|192.0000|NA|34.5000|2.0000|34.5000|NA|NA
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20180331|12|IGAAP|4338.0000|172.0000|323.1000|273.7000|98.9000|147.7000|3.4000|147.7000|54.1000|NA
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20190331|12|IGAAP|5360.6000|306.7000|429.2000|519.9000|94.9000|234.5000|3.8000|234.5000|512.1000|NA
119601|KEVENTER AGRO LTD.|20160331|12|IGAAP|5171.9000|67.9000|356.0000|1716.7000|195.6000|183.2000|NA|183.2000|NA|1279.8000
119601|KEVENTER AGRO LTD.|20170331|12|INDAS|5519.6000|56.6000|376.3000|1127.4000|134.5000|292.8000|2.9000|292.8000|873.9000|NA
119601|KEVENTER AGRO LTD.|20180331|12|INDAS|5920.3000|59.3000|426.1000|564.9000|145.9000|165.2000|0.2000|165.2000|-64.8000|NA
119601|KEVENTER AGRO LTD.|20190331|12|INDAS|6276.5000|81.1000|513.4000|1292.5000|132.9000|1041.2000|NA|1041.2000|1242.3000|NA
125758|L T FOODS LTD.|20160331|12|IGAAP|29473.1000|3.1000|1014.9000|375.6000|394.0000|564.6000|64.7000|564.6000|2971.6000|NA
125758|L T FOODS LTD.|20170331|12|INDAS|32255.9000|3.7000|1245.0000|643.8000|341.5000|707.1000|349.3000|707.1000|2267.3000|NA
