sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_export_incentives|sa_salaries_bonus_pf|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_net_fixed_assets|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_gross_fixed_ast_addn|sa_cf_net_frm_op_activity|sa_export_goods
112888|K R B L LTD.|20160331|12|INDAS|32504.8000|NA|574.5000|2032.2000|728.4000|7598.1000|1857.9000|2.5000|1857.9000|4328.4000|17661.9000
112888|K R B L LTD.|20170331|12|INDAS|30302.2000|NA|647.1000|873.3000|377.0000|9983.7000|2999.7000|0.2000|2999.7000|2658.6000|10766.8000
112888|K R B L LTD.|20180331|12|INDAS|30975.8000|NA|631.0000|519.5000|291.6000|9668.5000|379.6000|2.2000|379.6000|358.2000|NA
112888|K R B L LTD.|20190331|12|INDAS|39655.5000|NA|714.7000|332.4000|134.4000|9295.7000|295.7000|2.0000|295.7000|-1147.4000|NA
112888|K R B L LTD.|20200331|12|INDAS|43537.4000|NA|795.3000|892.2000|134.4000|9670.9000|1225.7000|6.8000|1225.7000|12120.0000|NA
112888|K R B L LTD.|20210331|12|INDAS|38785.4000|NA|867.4000|592.1000|134.4000|9347.4000|574.7000|2.3000|574.7000|3840.2000|NA
112888|K R B L LTD.|20220331|12|INDAS|40788.1000|NA|983.6000|504.9000|NA|9080.1000|519.6000|5.2000|519.6000|5609.8000|NA
112888|K R B L LTD.|20230331|12|INDAS|52215.6000|NA|1132.5000|367.8000|NA|8829.8000|891.3000|11.9000|891.3000|-3600.2000|NA
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20160331|12|IGAAP|3550.3000|NA|249.3000|142.0000|31.8000|519.8000|84.8000|0.6000|84.8000|-339.1000|NA
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20170331|12|IGAAP|4115.0000|148.0000|268.6000|192.0000|NA|497.1000|34.5000|2.0000|34.5000|512.5000|4213.3000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20180331|12|IGAAP|4338.0000|172.0000|321.9000|273.7000|98.9000|599.3000|147.7000|3.4000|147.7000|61.0000|4461.9000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20190331|12|IGAAP|5360.6000|306.7000|426.4000|519.9000|NA|774.6000|NA|NA|NA|526.3000|5587.1000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20200331|12|IGAAP|5785.9000|293.8000|379.1000|1100.2000|139.5000|1098.4000|405.8000|1.6000|405.8000|315.6000|5952.5000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20210331|12|IGAAP|6371.1000|43.9000|468.9000|1368.1000|NA|1268.3000|NA|NA|NA|NA|6420.4000
115914|MANE KANCOR INGREDIENTS PVT. LTD.|20220331|12|IGAAP|7733.8000|136.5000|483.5000|2124.0000|NA|1556.8000|NA|NA|NA|-953.0000|7322.0000
119601|KEVENTER AGRO LTD.|20160331|12|IGAAP|2073.3000|67.9000|215.4000|1450.8000|145.1000|1059.2000|158.4000|NA|158.4000|214.3000|1279.8000
119601|KEVENTER AGRO LTD.|20170331|12|IGAAP|2365.4000|56.6000|244.3000|1037.9000|136.5000|1177.0000|237.0000|2.9000|237.0000|710.6000|1160.6000
119601|KEVENTER AGRO LTD.|20180331|12|INDAS|2553.5000|59.3000|265.7000|564.9000|145.9000|1931.9000|131.9000|0.2000|131.9000|-24.0000|NA
119601|KEVENTER AGRO LTD.|20190331|12|INDAS|6276.5000|81.1000|506.9000|1292.5000|132.9000|3914.8000|1041.2000|NA|1041.2000|1242.3000|NA
119601|KEVENTER AGRO LTD.|20200331|12|INDAS|7442.0000|80.3000|648.6000|1496.3000|321.0000|4348.5000|896.8000|11.3000|896.8000|300.5000|NA
